count,State,Crop_Year,,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Precipitation_val,Temperature_val,DTR,EVI,FPAR,LAI,NDMI,NDVI,VHI,Yield,Avg_Yield,Yield_Anomaly
71,Chhattisgarh,2007,,rice,kharif,3902881,5634972,1246.2,520644325.4,624460.96,1227.2294689208059,26.660343653719192,10.52558163,0.347960348,0.411813136,1.299583719,0.505275548,0.551771954,0.627357282,1.393888889,1.426499669,-0.03261078
72,Chhattisgarh,2008,,rice,kharif,3928815,4707499,1117.9,561977697.6,353593.35,1201.0074419063371,26.442052706866196,9.912551587,0.328963056,0.404449584,1.271507863,0.499871956,0.516117215,0.632266045,1.198333333,1.426499669,-0.228166336
73,Chhattisgarh,2009,,rice,kharif,3837610,4347316,956.9,597976390.2,652393.7,934.7279661087923,27.349157199053696,9.91459164,0.346161896,0.423459759,1.353931545,0.506888112,0.547158801,0.602716786,1.106666667,1.426499669,-0.319833002
74,Chhattisgarh,2010,,rice,kharif,3937796,6637737,1283.1,654107293.6,945071.04,1206.9920827739045,27.308815539722712,8.974905458,0.349560542,0.41760407,1.335800185,0.508058309,0.549638104,0.624910483,1.702222222,1.426499669,0.275722553
75,Chhattisgarh,2011,,rice,kharif,3939826,6300825,1302.7,659999651.5,1300142.58,1209.3227110250104,26.408806599361796,10.06151767,0.349746615,0.402345051,1.28506013,0.503817537,0.551326306,0.623098295,1.527777778,1.426499669,0.101278109
76,Chhattisgarh,2012,,rice,kharif,3982172,7848401,1366.8,600511537.6,1234473.32,1321.6275508667172,26.487916758362676,9.834241748,0.335191296,0.399653099,1.292876966,0.506661615,0.525655899,0.638129811,1.91962963,1.426499669,0.493129961
77,Chhattisgarh,2013,,rice,kharif,3987721,7102729,1418.3,576185807.3,1076684.67,1360.0446639345355,26.065201020576584,8.777308393,0.351866538,0.39779371,1.288390379,0.506042145,0.540199226,0.65182944,1.75037037,1.426499669,0.323870701
78,Chhattisgarh,2014,,rice,kharif,4035700,7977746,1274.7,609229272,1331781,1177.2985894537308,27.050643705985916,9.303066437,0.35104971,0.424162812,1.394172063,0.502726603,0.548190522,0.620700533,1.92962963,1.426499669,0.503129961
79,Chhattisgarh,2015,,rice,kharif,3959746,5154328,1136,625283490.9,1306716.18,1054.7881392881693,27.240093392385564,8.742308588,0.381170406,0.456119334,1.508695652,0.490126258,0.603259188,0.640312076,1.21962963,1.426499669,-0.206870039
80,Chhattisgarh,2016,,rice,kharif,4052587,8793273,1298.9,621058957.8,1418405.45,1232.1699942502548,26.233047700264084,10.09592687,0.349824565,0.407493062,1.323265495,0.506310318,0.543506383,0.627711607,2.076666667,1.426499669,0.650166998
81,Chhattisgarh,2017,,rice,kharif,3976626,5749044,1124.5,626079997.4,1511117.88,1099.1439037337689,26.618091851892604,9.251177074,0.364235783,0.427377428,1.415309898,0.500573029,0.56103617,0.637254761,1.386296296,1.426499669,-0.040203373
82,Chhattisgarh,2018,,rice,kharif,4141378,6509430,1515.5,671731511.6,1449482.3,1116.2045265664938,26.220734072403168,9.90472912,0.320710445,0.399477336,1.291350601,0.508332651,0.503252418,0.599142114,1.521481481,1.426499669,0.094981812
83,Chhattisgarh,2019,,rice,kharif,4266022,8569367,1420.3,732731938.7,1578428.14,1336.5066200783344,26.904700910541372,8.733750685,0.351491876,0.405166512,1.334921369,0.514016598,0.542141586,0.623469566,1.936428571,1.426499669,0.509928902
84,Chhattisgarh,2020,,rice,kharif,NA,NA,NA,NA,NA,1323.774270371757,26.820642605633804,9.26634606,0.377045261,0.426026827,1.397271045,0.502983715,0.578166151,0.65552049,NA,1.426499669,NA
85,Delhi,2000,,rice,kharif,6053,11420,544.3,594223.01,1573.78,498.9134459141642,28.44571304321289,10.40875,0.302654545,0.397257715,1.005717731,0.5604034,0.438127273,0.438626834,1.89,2.7755,-0.8855
86,Delhi,2001,,rice,kharif,6405,12063,611.9,654142.65,1665.3,433.2899645976722,28.42755889892578,9.887192982,0.307663636,0.39673913,0.995652174,0.554740189,0.443554545,0.427043638,1.88,2.7755,-0.8955
87,Delhi,2002,,rice,kharif,6096,12907,593.6,577108.32,1524,458.0855541881174,28.96337891,10.09252033,0.297154545,0.377027027,0.910810811,0.57147416,0.433018182,0.415139869,2.12,2.7755,-0.6555
88,Delhi,2003,,rice,kharif,6549,17909,962.3,648220.02,1571.76,830.9315724298358,28.133983612060547,10.86792079,0.318527273,0.375869565,0.941304348,0.554270306,0.4753,0.468963911,2.73,2.7755,-0.0455
89,Delhi,2004,,rice,kharif,8431,28216,651.9,913414.54,1770.51,516.8525520600379,28.325702667236328,10.05283333,0.323054545,0.401304348,0.976086957,0.55828465,0.468427273,0.462197469,3.35,2.7755,0.5745
90,Delhi,2005,,rice,kharif,7506,21092,653.1,900119.52,1576.26,535.6278161518276,28.591829299926758,10.47827586,0.318018182,0.386521739,0.941304348,0.552557749,0.460209091,0.44700544,2.81,2.7755,0.0345
91,Delhi,2006,,rice,kharif,7381,20815,462.7,942627.51,1623.82,438.6150654666126,28.540102005004883,9.828347826,0.3342,0.412173913,1.056521739,0.553564796,0.485427273,0.47342043,2.82,2.7755,0.0445
92,Delhi,2007,,rice,kharif,7419,20946,677.5,989694.6,1187.04,386.76232376508415,28.580928802490234,10.39927928,0.323172727,0.391304348,0.995652174,0.560409924,0.463018182,0.44890882,2.82,2.7755,0.0445
93,Delhi,2008,,rice,kharif,7039,19873,614.6,1006858.56,633.51,430.1346155,28.162015914916992,9.040188679,0.330218182,0.392391304,0.97826087,0.540729817,0.476454545,0.471351832,2.82,2.7755,0.0445
94,Delhi,2009,,rice,kharif,6821,19008,528.4,1062848.22,1159.57,401.7122603934258,28.91408348083496,10.93291339,0.330354545,0.39673913,1.002173913,0.570184294,0.464736364,0.439743763,2.79,2.7755,0.0145
95,Delhi,2010,,rice,kharif,6848,19083,989.5,1137521.28,1643.52,889.0046207439154,28.47945785522461,9.803555556,0.315354545,0.379347826,0.952173913,0.559005093,0.4619,0.454816767,2.79,2.7755,0.0145
96,Delhi,2011,,rice,kharif,7248,20198,641.3954545,1214184.96,2391.84,544.9944123737514,28.369342803955078,9.992673267,0.333436364,0.395217391,0.995652174,0.55070797,0.480836364,0.469738284,2.79,2.7755,0.0145
97,Delhi,2012,,rice,kharif,6068,19768,451.9,915054.4,1881.08,419.9358581844717,28.566022872924805,11.23831776,0.308763636,0.37673913,0.926086957,0.567578756,0.444527273,0.441757741,3.26,2.7755,0.4845
98,Delhi,2013,,rice,kharif,6068,19768,706.8,876765.32,1638.36,573.4053134843707,28.031736373901367,9.281521739,0.332709091,0.403913043,1.032608696,0.546976199,0.484218182,0.475517534,3.26,2.7755,0.4845
99,Delhi,2014,,rice,kharif,6035,17269,416.4,911043.6,1991.55,303.9103184249252,29.021743774414062,10.079,0.319936364,0.397826087,1.008695652,0.563974112,0.456154545,0.427882294,2.86,2.7755,0.0845
100,Delhi,2015,,rice,kharif,5884,16837,757.7,929142.44,1941.72,445.1105446126312,28.565128326416016,9.898512397,0.316618182,0.403695652,1.026086957,0.556089425,0.463136364,0.442607229,2.86,2.7755,0.0845
101,Delhi,2016,,rice,kharif,5973,17260,747.1,915362.25,2090.55,483.18472420051694,28.55101967,9.120701754,0.328209091,0.401086957,1.030434783,0.549009466,0.475363636,0.475528392,2.89,2.7755,0.1145
102,Delhi,2017,,rice,kharif,5854,16837,533.7,921653.76,2224.52,541.2526198793203,27.96949005126953,9.801441441,0.342472727,0.431304348,1.134782609,0.544316702,0.502245455,0.493012322,2.88,2.7755,0.1045
103,Delhi,2018,,rice,kharif,5848,16826,678.5,948545.6,2046.8,680.7152674924582,27.783613204956055,9.385242718,0.328990909,0.381521739,0.939130435,0.551658087,0.483663636,0.48384356,2.88,2.7755,0.1045
104,Delhi,2019,,rice,kharif,5848,17580,546.9,1004452.48,2163.76,432.5713171120733,28.18054962158203,8.712156863,0.344772727,0.420869565,1.132608696,0.561767279,0.5068,0.493159067,3.01,2.7755,0.2345
105,Delhi,2020,,rice,kharif,NA,NA,NA,NA,NA,387.01044448651373,28.218074798583984,9.5795,0.343681818,0.423043478,1.12826087,0.567721139,0.4921,0.48233685,NA,2.7755,NA
106,Goa,2000,,rice,kharif,41000,96568,3886.9,4024970,10660,2017.0084658401709,26.31201934814453,6.461935484,0.359881818,0.411006247,1.630478075,0.539480373,0.554527273,0.556179029,2.36,2.59275,-0.23275
107,Goa,2001,,rice,kharif,32746,79071,2530.6,3344348.98,8513.96,1683.4141766751807,26.389183044433594,7.594358974,0.331654545,0.409782609,1.604347826,0.52165512,0.5105,0.543548872,2.41,2.59275,-0.18275
108,Goa,2002,,rice,kharif,33728,90072,2516.3,3193029.76,8432,1722.1706468462944,26.537765502929688,6.849795918,0.386263636,0.492162162,2.048648649,0.52050534,0.595772727,0.583141425,2.67,2.59275,0.07725
109,Goa,2003,,rice,kharif,35471,115996,3011.6,3510919.58,8513.04,1925.496850894143,26.807403564453125,6.842173913,0.344318182,0.422391304,1.663043478,0.527104267,0.534536364,0.570035403,3.27,2.59275,0.67725
110,Goa,2004,,rice,kharif,52442,145174,2518,5681566.28,11012.82,1886.5209270194173,26.263112386067707,6.817619048,0.384590909,0.434130435,1.72173913,0.527137165,0.576981818,0.583621839,2.75,2.59275,0.15725
111,Goa,2005,,rice,kharif,52177,147236,3392.8,6257065.84,10957.17,2667.0121941318116,26.15692138671875,6.577931034,0.3539,0.384782609,1.508695652,0.529725791,0.539827273,0.562070213,2.81,2.59275,0.21725
112,Goa,2006,,rice,kharif,52985,128945,2928.8,6766714.35,11656.7,3261.622827311357,25.954998016357422,6.879459459,0.380981818,0.416304348,1.656521739,0.529031987,0.5813,0.572882656,2.41,2.59275,-0.18275
113,Goa,2007,,rice,kharif,52191,121679,3674.7,6962279.4,8350.56,2824.257450980445,25.889005661010742,7.708965517,0.323045455,0.358695652,1.356521739,0.537588368,0.500554545,0.532618807,2.32,2.59275,-0.27275
114,Goa,2008,,rice,kharif,33638,78705,3271.6,4811579.52,3027.42,2112.6850261936584,25.818439483642578,7.2745,0.362,0.395652174,1.534782609,0.533419534,0.559081818,0.557597696,2.325,2.59275,-0.26775
115,Goa,2009,,rice,kharif,31166,59267,3334.9,4856286.12,5298.22,2422.5419070720673,26.048690795898438,6.466285714,0.367309091,0.409782609,1.593478261,0.531368732,0.571836364,0.556668272,1.895,2.59275,-0.69775
116,Goa,2010,,rice,kharif,30632,72221,4193.3,5088281.52,7351.68,2518.524609134843,26.143991470336914,6.576666667,0.361045455,0.381521739,1.476086957,0.538295998,0.562036364,0.572309177,2.35,2.59275,-0.24275
117,Goa,2011,,rice,kharif,31247,78770,3340.395455,5234497.44,10311.51,2988.4016541590295,25.723949432373047,6.5105,0.347836364,0.389130435,1.552173913,0.534816873,0.538981818,0.546376285,2.495,2.59275,-0.09775
118,Goa,2012,,rice,kharif,31255,81229,3048.9,4713254,9689.05,2338.696029809614,25.60097885131836,7.278,0.367172727,0.410434783,1.610869565,0.526804651,0.566809091,0.562625309,2.59,2.59275,-0.00275
